# Loading file                ::   ../data.csv
# Frequency vector size       ::   180001
# Magnitude vector size       ::   180001
# Smoothing frequency vector  ::   geomspace(start=0.1, stop=20, n=512)
# Elapsed Time                ::   0.88593 seconds
sfrqs,smags
0.1,1.45236
0.101042,1.384
0.102095,1.32482
0.103159,1.27885
0.104235,1.2493
0.105321,1.2384
0.106419,1.24744
0.107528,1.27693
0.108649,1.3268
0.109781,1.39661
0.110925,1.48581
0.112081,1.59401
0.113249,1.72123
0.11443,1.86819
0.115622,2.0365
0.116827,2.22873
0.118045,2.44833
0.119275,2.69936
0.120519,2.98589
0.121775,3.31116
0.123044,3.67668
0.124326,4.08131
0.125622,4.52065
0.126931,4.98686
0.128254,5.4689
0.129591,5.95342
0.130942,6.42592
0.132306,6.87221
0.133685,7.2798
0.135079,7.63902
0.136487,7.94374
0.137909,8.19152
0.139346,8.38325
0.140799,8.52228
0.142266,8.61331
0.143749,8.66116
0.145247,8.66992
0.146761,8.64255
0.148291,8.581
0.149836,8.48691
0.151398,8.36253
0.152976,8.21175
0.15457,8.04068
0.156181,7.85788
0.157809,7.67377
0.159454,7.4996
0.161116,7.34599
0.162795,7.22144
0.164492,7.13101
0.166206,7.07553
0.167938,7.05153
0.169689,7.05195
0.171457,7.06762
0.173244,7.08922
0.17505,7.10931
0.176874,7.12395
0.178718,7.1337
0.18058,7.14367
0.182463,7.16251
0.184364,7.20064
0.186286,7.26794
0.188227,7.37149
0.190189,7.51381
0.192171,7.69193
0.194174,7.89761
0.196198,8.11857
0.198243,8.34064
0.200309,8.55047
0.202397,8.73806
0.204506,8.89876
0.206638,9.03411
0.208791,9.15144
0.210968,9.26239
0.213166,9.38046
0.215388,9.51835
0.217633,9.6854
0.219901,9.88566
0.222193,10.1171
0.224509,10.3718
0.226849,10.6377
0.229213,10.9002
0.231602,11.145
0.234016,11.3603
0.236455,11.5383
0.238919,11.6768
0.24141,11.7782
0.243926,11.8495
0.246468,11.8998
0.249037,11.9394
0.251632,11.977
0.254255,12.0193
0.256905,12.0692
0.259583,12.1263
0.262288,12.187
0.265022,12.2453
0.267784,12.2945
0.270575,12.3286
0.273395,12.3429
0.276244,12.3356
0.279124,12.3074
0.282033,12.262
0.284972,12.2049
0.287942,12.143
0.290943,12.0836
0.293976,12.034
0.29704,12.001
0.300136,11.9905
0.303264,12.008
0.306424,12.0585
0.309618,12.1466
0.312845,12.2758
0.316106,12.4481
0.3194,12.6635
0.322729,12.9195
0.326093,13.211
0.329492,13.5305
0.332926,13.869
0.336396,14.2165
0.339902,14.5632
0.343444,14.9003
0.347024,15.2207
0.350641,15.5193
0.354295,15.7935
0.357988,16.0422
0.361719,16.2664
0.365489,16.4679
0.369298,16.6495
0.373147,16.8143
0.377036,16.9652
0.380966,17.1048
0.384937,17.2349
0.388949,17.3563
0.393002,17.469
0.397098,17.5725
0.401237,17.666
0.405419,17.7496
0.409645,17.8235
0.413914,17.889
0.418228,17.9478
0.422587,18.0019
0.426991,18.053
0.431442,18.102
0.435938,18.1483
0.440482,18.1897
0.445073,18.2227
